county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0381,Enköping                                          ,43 639,203,153,106,47,748,146,484,118,596,140,429,27,152,6,55,91
0331,Heby                                              ,13 826,55,37,41,-4,280,133,121,26,223,96,123,4,57,37,-2,22
0305,Håbo                                              ,21 031,102,70,31,39,402,36,327,39,342,70,252,20,60,-34,75,19
0330,Knivsta                                           ,17 873,132,54,24,30,408,143,232,33,320,113,170,37,88,30,62,-4
0360,Tierp                                             ,20 879,117,71,56,15,400,165,168,67,301,112,179,10,99,53,-11,57
0380,Uppsala                                           ,218 865,2 323,634,313,321,5 630,441,3 702,1 487,3 682,575,2 748,359,1 948,-134,954,1 128
0319,Älvkarleby                                        ,9 407,-23,36,24,12,179,29,120,30,212,33,174,5,-33,-4,-54,25
0382,Östhammar                                         ,21 963,98,64,66,-2,375,178,165,32,274,132,132,10,101,46,33,22
0484,Eskilstuna                                        ,104 529,257,331,241,90,1 356,159,837,360,1 220,113,993,114,136,46,-156,246
0482,Flen                                              ,16 883,71,47,41,6,503,75,185,243,449,144,290,15,54,-69,-105,228
0461,Gnesta                                            ,10 940,50,27,25,2,222,50,150,22,174,41,124,9,48,9,26,13
0483,Katrineholm                                       ,34 075,79,103,86,17,533,165,271,97,476,134,317,25,57,31,-46,72
0480,Nyköping                                          ,55 328,64,148,138,10,819,224,494,101,768,152,575,41,51,72,-81,60
0481,Oxelösund                                         ,12 010,-27,42,29,13,179,89,70,20,219,119,92,8,-40,-30,-22,12
0486,Strängnäs                                         ,34 917,119,85,64,21,642,91,448,103,547,114,393,40,95,-23,55,63
0488,Trosa                                             ,12 832,165,30,18,12,328,43,261,24,179,64,112,3,149,-21,149,21
0428,Vingåker                                          ,9 197,46,25,31,-6,264,84,91,89,213,99,100,14,51,-15,-9,75
0560,Boxholm                                           ,5 464,33,10,9,1,111,55,53,3,80,35,44,1,31,20,9,2
0562,Finspång                                          ,21 516,11,42,49,-7,408,193,120,95,391,183,201,7,17,10,-81,88
0513,Kinda                                             ,9 859,18,29,27,2,151,68,69,14,142,75,58,9,9,-7,11,5
0580,Linköping                                         ,157 917,1 579,467,266,201,3 739,679,2 378,682,2 390,547,1 687,156,1 349,132,691,526
0586,Mjölby                                            ,26 959,55,70,67,3,378,193,130,55,329,192,128,9,49,1,2,46
0583,Motala                                            ,43 471,17,133,107,26,466,161,234,71,474,208,252,14,-8,-47,-18,57
0581,Norrköping                                        ,140 780,442,432,314,118,2 091,504,1 182,405,1 799,583,1 094,122,292,-79,88,283
0582,Söderköping                                       ,14 542,10,33,42,-9,242,169,53,20,222,165,52,5,20,4,1,15
0584,Vadstena                                          ,7 407,3,15,30,-15,137,75,52,10,121,67,52,2,16,8,0,8
