county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
1445,Essunga                                           ,5 620,0,46,50,-4,243,165,60,18,240,190,40,10,3,-25,20,8
1499,Falköping                                         ,32 978,172,291,261,30,1 265,642,405,218,1 129,652,414,63,136,-10,-9,155
1439,Färgelanda                                        ,6 602,-25,44,68,-24,336,224,53,59,350,272,67,11,-14,-48,-14,48
1444,Grästorp                                          ,5 737,16,47,48,-1,259,202,33,24,241,185,46,10,18,17,-13,14
1447,Gullspång                                         ,5 291,-16,35,46,-11,311,111,137,63,332,182,132,18,-21,-71,5,45
1480,Göteborg                                          ,562 748,6 108,5 760,3 222,2 538,27 252,9 221,10 021,8 010,23 906,11 394,9 560,2 952,3 346,-2 173,461,5 058
1471,Götene                                            ,13 203,-72,93,109,-16,514,337,120,57,581,370,191,20,-67,-33,-71,37
1466,Herrljunga                                        ,9 503,17,71,73,-2,404,275,87,42,387,260,116,11,17,15,-29,31
1497,Hjo                                               ,9 095,47,69,74,-5,369,248,81,40,320,195,111,14,49,53,-30,26
1401,Härryda                                           ,37 323,215,283,181,102,1 722,1 200,302,220,1 629,1 204,331,94,93,-4,-29,126
1446,Karlsborg                                         ,6 949,36,57,51,6,399,159,130,110,389,240,143,6,10,-81,-13,104
1482,Kungälv                                           ,43 880,591,352,311,41,2 065,1 558,335,172,1 521,1 115,334,72,544,443,1,100
1441,Lerum                                             ,41 253,561,316,233,83,1 920,1 421,332,167,1 457,1 076,298,83,463,345,34,84
1494,Lidköping                                         ,39 487,252,325,320,5,1 343,796,349,198,1 103,728,334,41,240,68,15,157
1462,Lilla Edet                                        ,13 840,112,124,105,19,892,674,114,104,800,643,130,27,92,31,-16,77
1484,Lysekil                                           ,14 617,47,90,133,-43,624,331,148,145,543,339,164,40,81,-8,-16,105
1493,Mariestad                                         ,24 265,50,172,230,-58,900,468,267,165,804,467,298,39,96,1,-31,126
1463,Mark                                              ,34 406,188,259,299,-40,1 278,744,335,199,1 060,604,396,60,218,140,-61,139
1461,Mellerud                                          ,9 357,34,95,112,-17,591,306,128,157,561,391,152,18,30,-85,-24,139
1430,Munkedal                                          ,10 391,30,96,79,17,554,339,98,117,546,439,89,18,8,-100,9,99
1481,Mölndal                                           ,65 631,1 166,560,361,199,4 672,3 172,999,501,3 709,2 398,1 116,195,963,774,-117,306
1421,Orust                                             ,15 106,13,85,128,-43,683,477,111,95,636,484,124,28,47,-7,-13,67
1402,Partille                                          ,37 842,526,297,195,102,2 488,1 863,350,275,2 066,1 605,358,103,422,258,-8,172
1495,Skara                                             ,18 808,-171,164,152,12,847,455,213,179,1 048,697,302,49,-201,-242,-89,130
1496,Skövde                                            ,54 682,549,512,325,187,2 484,1 337,809,338,2 143,1 196,836,111,341,141,-27,227
1427,Sotenäs                                           ,9 097,32,61,120,-59,412,288,71,53,321,226,79,16,91,62,-8,37
1415,Stenungsund                                       ,26 150,335,198,150,48,1 256,891,181,184,992,743,210,39,264,148,-29,145
1486,Strömstad                                         ,13 132,53,125,93,32,559,199,180,180,540,282,142,116,19,-83,38,64
1465,Svenljunga                                        ,10 704,25,84,81,3,650,373,130,147,628,414,200,14,22,-41,-70,133
1435,Tanum                                             ,12 721,115,105,106,-1,597,393,126,78,487,323,111,53,110,70,15,25
1472,Tibro                                             ,11 120,50,91,90,1,462,287,94,81,417,295,114,8,45,-8,-20,73
1498,Tidaholm                                          ,12 817,20,107,111,-4,419,184,135,100,399,224,165,10,20,-40,-30,90
1419,Tjörn                                             ,15 778,194,126,127,-1,870,566,144,160,689,507,156,26,181,59,-12,134
1452,Tranemo                                           ,11 831,55,80,103,-23,577,300,148,129,511,327,163,21,66,-27,-15,108
1488,Trollhättan                                       ,58 080,327,522,396,126,2 421,1 299,638,484,2 242,1 427,648,167,179,-128,-10,317
1473,Töreboda                                          ,9 502,67,76,69,7,598,277,151,170,537,332,194,11,61,-55,-43,159
1485,Uddevalla                                         ,55 581,417,514,449,65,2 104,1 269,519,316,1 809,1 163,538,108,295,106,-19,208
1491,Ulricehamn                                        ,24 203,316,189,204,-15,1 062,571,314,177,747,439,269,39,315,132,45,138
1470,Vara                                              ,15 952,164,135,135,0,721,487,136,98,566,394,146,26,155,93,-10,72
1442,Vårgårda                                          ,11 437,142,112,61,51,480,330,91,59,397,292,92,13,83,38,-1,46
1487,Vänersborg                                        ,39 063,108,345,316,29,1 714,964,348,402,1 675,1 138,453,84,39,-174,-105,318
1492,Åmål                                              ,12 737,-64,79,120,-41,467,151,179,137,500,193,265,42,-33,-42,-86,95
1407,Öckerö                                            ,12 910,137,78,89,-11,557,367,122,68,408,271,107,30,149,96,15,38
1784,Arvika                                            ,26 040,-14,200,239,-39,784,269,332,183,761,300,407,54,23,-31,-75,129
1730,Eda                                               ,8 599,73,62,88,-26,438,212,107,119,339,164,106,69,99,48,1,50
1782,Filipstad                                         ,10 829,-131,101,114,-13,703,166,311,226,833,248,562,23,-130,-82,-251,203
1763,Forshaga                                          ,11 500,49,93,97,-4,553,336,123,94,502,346,140,16,51,-10,-17,78
1764,Grums                                             ,9 006,-57,61,87,-26,437,258,93,86,469,296,141,32,-32,-38,-48,54
1783,Hagfors                                           ,11 775,-142,61,127,-66,502,129,172,201,586,244,311,31,-84,-115,-139,170
1761,Hammarö                                           ,16 146,421,147,95,52,940,653,221,66,570,407,135,28,370,246,86,38
1780,Karlstad                                          ,90 882,684,859,572,287,4 563,1 803,2 186,574,4 173,1 575,2 424,174,390,228,-238,400
1715,Kil                                               ,11 896,96,96,94,2,517,346,134,37,424,281,132,11,93,65,2,26
1781,Kristinehamn                                      ,24 636,-35,194,205,-11,954,241,442,271,987,331,617,39,-33,-90,-175,232
1762,Munkfors                                          ,3 736,-2,32,43,-11,234,118,58,58,225,141,79,5,9,-23,-21,53
1760,Storfors                                          ,4 098,52,29,38,-9,286,109,109,68,244,96,142,6,42,13,-33,62
1766,Sunne                                             ,13 343,-82,98,120,-22,559,210,143,206,627,265,344,18,-68,-55,-201,188
1785,Säffle                                            ,15 703,70,116,164,-48,705,193,303,209,602,215,349,38,103,-22,-46,171
1737,Torsby                                            ,11 871,-298,77,156,-79,401,121,118,162,621,210,376,35,-220,-89,-258,127
1765,Årjäng                                            ,9 939,-19,69,98,-29,344,76,124,144,336,121,154,61,8,-45,-30,83
1882,Askersund                                         ,11 181,-101,74,104,-30,465,204,190,71,535,300,225,10,-70,-96,-35,61
1862,Degerfors                                         ,9 619,10,71,89,-18,398,184,157,57,380,198,162,20,18,-14,-5,37
1861,Hallsberg                                         ,15 876,227,123,131,-8,1 042,573,291,178,811,544,250,17,231,29,41,161
1863,Hällefors                                         ,7 090,-48,64,80,-16,436,67,245,124,475,179,288,8,-39,-112,-43,116
1883,Karlskoga                                         ,30 485,-53,230,280,-50,1 022,282,509,231,1 030,419,573,38,-8,-137,-64,193
1881,Kumla                                             ,21 461,127,186,134,52,1 058,703,245,110,985,688,267,30,73,15,-22,80
1860,Laxå                                              ,5 671,-38,32,59,-27,316,93,113,110,325,149,164,12,-9,-56,-51,98
1814,Lekeberg                                          ,7 831,195,81,58,23,477,309,120,48,306,209,83,14,171,100,37,34
1885,Lindesberg                                        ,23 707,-37,191,203,-12,1 195,357,439,399,1 240,569,642,29,-45,-212,-203,370
1864,Ljusnarsberg                                      ,4 950,-56,23,53,-30,345,73,165,107,379,146,224,9,-34,-73,-59,98
1884,Nora                                              ,10 723,58,85,94,-9,487,241,179,67,420,259,145,16,67,-18,34,51
1880,Örebro                                            ,149 403,2 772,1 435,896,539,7 501,2 076,4 390,1 035,5 297,1 502,3 380,415,2 204,574,1 010,620
1984,Arboga                                            ,13 895,-8,111,120,-9,602,138,334,130,619,196,402,21,-17,-58,-68,109
1982,Fagersta                                          ,13 454,9,125,109,16,720,200,333,187,736,224,465,47,-16,-24,-132,140
1961,Hallstahammar                                     ,15 894,51,130,151,-21,835,419,335,81,766,489,257,20,69,-70,78,61
1960,Kungsör                                           ,8 566,134,75,51,24,553,155,293,105,450,175,267,8,103,-20,26,97
1983,Köping                                            ,26 122,172,219,200,19,1 059,363,478,218,912,371,489,52,147,-8,-11,166
1962,Norberg                                           ,5 813,18,45,50,-5,415,87,148,180,399,150,244,5,16,-63,-96,175
1981,Sala                                              ,22 620,267,196,197,-1,951,184,600,167,690,213,455,22,261,-29,145,145
1904,Skinnskatteberg                                   ,4 408,-21,31,49,-18,306,111,119,76,310,135,165,10,-4,-24,-46,66
1907,Surahammar                                        ,10 068,9,70,79,-9,522,288,154,80,506,338,164,4,16,-50,-10,76
1980,Västerås                                          ,149 695,2 275,1 333,978,355,6 231,1 276,3 745,1 210,4 347,930,3 078,339,1 884,346,667,871
2084,Avesta                                            ,23 163,2,185,217,-32,1 042,158,544,340,1 028,212,799,17,14,-54,-255,323
2081,Borlänge                                          ,51 848,244,490,376,114,1 997,820,814,363,1 884,789,981,114,113,31,-167,249
2080,Falun                                             ,58 214,529,502,383,119,2 402,807,1 309,286,1 992,587,1 311,94,410,220,-2,192
2026,Gagnef                                            ,10 264,89,98,77,21,420,216,133,71,353,214,124,15,67,2,9,56
2083,Hedemora                                          ,15 530,69,139,127,12,814,226,331,257,780,310,444,26,34,-84,-113,231
2029,Leksand                                           ,15 580,73,104,145,-41,692,238,386,68,582,223,336,23,110,15,50,45
2085,Ludvika                                           ,26 998,65,276,237,39,1 201,328,536,337,1 200,411,740,49,1,-83,-204,288
2023,Malung-Sälen                                      ,10 083,-8,87,96,-9,394,64,246,84,391,104,266,21,3,-40,-20,63
2062,Mora                                              ,20 391,112,143,155,-12,767,261,357,149,642,238,369,35,125,23,-12,114
2034,Orsa                                              ,6 892,31,44,66,-22,350,139,157,54,304,136,148,20,46,3,9,34
2031,Rättvik                                           ,10 856,0,69,96,-27,455,166,228,61,430,188,226,16,25,-22,2,45
2061,Smedjebacken                                      ,10 849,-60,80,93,-13,420,209,172,39,474,230,223,21,-54,-21,-51,18
2082,Säter                                             ,11 180,94,102,80,22,555,342,162,51,482,309,158,15,73,33,4,36
2021,Vansbro                                           ,6 829,-55,53,55,-2,231,65,97,69,291,94,192,5,-60,-29,-95,64
2039,Älvdalen                                          ,7 047,8,44,75,-31,241,75,111,55,207,69,130,8,34,6,-19,47
2183,Bollnäs                                           ,26 851,-78,220,277,-57,924,303,391,230,957,343,574,40,-33,-40,-183,190
2180,Gävle                                             ,100 500,712,894,692,202,3 652,824,2 237,591,3 169,651,2 317,201,483,173,-80,390
2104,Hofors                                            ,9 625,61,69,86,-17,446,160,169,117,371,161,199,11,75,-1,-30,106
2184,Hudiksvall                                        ,37 396,97,283,315,-32,1 277,384,641,252,1 161,316,793,52,116,68,-152,200
2161,Ljusdal                                           ,19 042,-25,129,197,-68,668,166,391,111,628,212,391,25,40,-46,0,86
2132,Nordanstig                                        ,9 481,-30,82,101,-19,411,131,202,78,425,189,228,8,-14,-58,-26,70
2101,Ockelbo                                           ,5 895,39,36,46,-10,280,101,125,54,236,143,89,4,44,-42,36,50
2121,Ovanåker                                          ,11 623,-8,96,116,-20,347,115,156,76,336,114,218,4,11,1,-62,72
2181,Sandviken                                         ,39 228,279,306,315,-9,1 637,566,677,394,1 365,572,736,57,272,-6,-59,337
2182,Söderhamn                                         ,25 811,-181,180,296,-116,959,251,388,320,1 055,300,725,30,-96,-49,-337,290
2280,Härnösand                                         ,25 217,-52,187,215,-28,1 188,308,536,344,1 257,383,842,32,-69,-75,-306,312
2282,Kramfors                                          ,18 667,-14,135,217,-82,1 066,283,385,398,1 004,292,685,27,62,-9,-300,371
2283,Sollefteå                                         ,19 737,-109,157,238,-81,865,178,381,306,904,190,699,15,-39,-12,-318,291
2281,Sundsvall                                         ,98 758,433,826,782,44,3 263,829,1 747,687,2 893,753,2 019,121,370,76,-272,566
2262,Timrå                                             ,18 023,31,130,166,-36,776,441,210,125,717,434,264,19,59,7,-54,106
2260,Ånge                                              ,9 506,11,52,112,-60,511,138,175,198,450,137,302,11,61,1,-127,187
2284,Örnsköldsvik                                      ,56 174,210,464,481,-17,1 517,197,861,459,1 297,185,1 046,66,220,12,-185,393
2326,Berg                                              ,7 111,30,58,73,-15,382,135,144,103,363,156,205,2,19,-21,-61,101
2305,Bräcke                                            ,6 488,-4,45,75,-30,409,149,133,127,397,154,228,15,12,-5,-95,112
2361,Härjedalen                                        ,10 196,-4,68,123,-55,505,54,311,140,461,88,357,16,44,-34,-46,124
2309,Krokom                                            ,14 895,52,130,110,20,729,347,226,156,702,365,322,15,27,-18,-96,141
2303,Ragunda                                           ,5 461,46,46,57,-11,323,96,119,108,273,113,156,4,50,-17,-37,104
2313,Strömsund                                         ,11 828,19,94,129,-35,597,101,307,189,551,150,368,33,46,-49,-61,156
2321,Åre                                               ,11 191,103,103,71,32,878,159,453,266,816,231,533,52,62,-72,-80,214
2380,Östersund                                         ,62 479,734,583,431,152,2 860,914,1 554,392,2 283,698,1 507,78,577,216,47,314
